timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643882299580,3546,Key,200,OK,Valid cases 1-1,text,true,,1202,582,1,1,https://xapidev.xtrm.com/oAuth/token,3544,0,973
1643882303134,710,Create User,400,Bad Request,Valid cases 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",883,1370,1,1,https://xapidev.xtrm.com/API/v4/Register/CreateUser,710,0,0
1643882303848,307,Update User,400,Bad Request,Valid cases 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",881,1317,1,1,https://xapidev.xtrm.com/API/v4/Register/UpdateUser,306,0,0
1643882304155,405,Fetch Personal Beneficiaries,200,OK,Valid cases 1-1,text,true,,1355,717,1,1,https://xapidev.xtrm.com/API/v4/Beneficiary/GetPersonalBeneficiaries,405,0,0
1643882304563,417,Check User Exist,200,OK,Valid cases 1-1,text,true,,1089,654,1,1,https://xapidev.xtrm.com/API/v4/Beneficiary/CheckUserExist,412,0,0
1643882304988,467,Get  Beneficiaries,200,OK,Valid cases 1-1,text,true,,1574,747,1,1,https://xapidev.xtrm.com/API/v4/Beneficiary/GetBeneficiaries,467,0,0
1643882305456,332,Check Beneficiary Exist,200,OK,Valid cases 1-1,text,true,,1325,678,1,1,https://xapidev.xtrm.com/API/v4/Beneficiary/CheckBeneficiaryExist,331,0,0
1643882305788,14082,Get Company Type,200,OK,Valid cases 1-1,text,true,,4968,514,1,1,https://xapidev.xtrm.com/API/v4/Register/GetAdvancedContactCompanyType,14081,0,0
1643882319870,1249,Get NAICS,200,OK,Valid cases 1-1,text,true,,23916,493,1,1,https://xapidev.xtrm.com/API/v4/Register/GetNaics,1024,0,0
1643882321121,444,Get Advanced Contact Job Titles,200,OK,Valid cases 1-1,text,true,,1214,512,1,1,https://xapidev.xtrm.com/API/v4/Register/GetAdvancedContactJobTitles,444,0,0
1643882321566,455,Get Identification Type,200,OK,Valid cases 1-1,text,true,,1059,506,1,1,https://xapidev.xtrm.com/API/v4/Register/GetIdentificationType,455,0,0
1643882322022,607,Get Advanced Contact Country,200,OK,Valid cases 1-1,text,true,,3992,510,1,1,https://xapidev.xtrm.com/API/v4/Register/GetAdvancedContactCountry,606,0,0
1643882322629,749,Get Advanced Contact State,200,OK,Valid cases 1-1,text,true,,1656,616,1,1,https://xapidev.xtrm.com/API/v4/Register/GetAdvancedContactState,749,0,0
1643882323379,379,Get Advanced Profile Status,200,OK,Valid cases 1-1,text,true,,1002,693,1,1,https://xapidev.xtrm.com/API/v4/Register/CompanyAdvancedProfileStatus,379,0,0
1643882323759,383,Get Advanced Profile Details,200,OK,Valid cases 1-1,text,true,,2652,698,1,1,https://xapidev.xtrm.com/API/v4/Register/GetCompanyAdvancedProfileDetails,383,0,0
1643882324143,356,Create Beneficiary Company,400,Bad Request,Valid cases 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",921,1432,1,1,https://xapidev.xtrm.com/API/v4/Beneficiary/CreateBeneficiary,356,0,0
