timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695285451606,8,SetNbReq,500,"org.apache.jorphan.util.JMeterException: Error invoking bsh method: eval	Sourced file: inline evaluation of: ``import com.xtrm.webapi.CommonFunctions;  vars.put(""count_transfer company"",Strin . . . '' : Attempt to resolve method: countLinesInFile() on undefined variable or class name: CommonFunctions",Valid cases 1-1,text,false,,0,0,1,1,null,0,0,0
1695285451739,1213,Key-dev-SPN1987678,200,OK,Valid cases 1-1,text,true,,1203,582,1,1,https://xapidev.xtrm.com/oAuth/token,1208,0,101
1695285546289,6,SetNbReq,500,"org.apache.jorphan.util.JMeterException: Error invoking bsh method: eval	Sourced file: inline evaluation of: ``import com.xtrm.webapi.CommonFunctions;  vars.put(""count_transfer company"",Strin . . . '' : Attempt to resolve method: countLinesInFile() on undefined variable or class name: CommonFunctions",Valid cases 1-1,text,false,,0,0,1,1,null,0,0,0
1695285546298,353,Key-dev-SPN1987678,200,OK,Valid cases 1-1,text,true,,1202,582,1,1,https://xapidev.xtrm.com/oAuth/token,353,0,70
1695285546656,497,Fetch Personal Beneficiaries,401,Unauthorized,Valid cases 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[401]]]

****** comparison: [[[200]]]

/",1559,1207,1,1,https://xapidev.xtrm.com/API/v4/Beneficiary/GetPersonalBeneficiaries,48,0,18
1695285546656,48,Fetch Personal Beneficiaries-0,301,Moved Permanently,Valid cases 1-1,,true,,605,717,1,1,http://xapidev.xtrm.com/API/v4/Beneficiary/GetPersonalBeneficiaries,48,0,18
1695285546707,446,Fetch Personal Beneficiaries-1,401,Unauthorized,Valid cases 1-1,text,false,,954,490,1,1,https://xapidev.xtrm.com/API/v4/Beneficiary/GetPersonalBeneficiaries,446,0,0
1695285547460,335,Check User Exist,401,Unauthorized,Valid cases 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[401]]]

****** comparison: [[[200]]]

/",1539,1172,1,1,https://xapidev.xtrm.com/API/v4/Beneficiary/CheckUserExist,24,0,0
1695285547460,24,Check User Exist-0,301,Moved Permanently,Valid cases 1-1,,true,,595,692,1,1,http://xapidev.xtrm.com/API/v4/Beneficiary/CheckUserExist,24,0,0
1695285547485,310,Check User Exist-1,401,Unauthorized,Valid cases 1-1,text,false,,944,480,1,1,https://xapidev.xtrm.com/API/v4/Beneficiary/CheckUserExist,310,0,0
